"姓氏","拼音","人口","姓氏来源信息"
"郦","Lì","约 30 万","郦姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"雍","Yōng","约 15 万","雍姓源出姬姓，为周文王第十三子雍伯的后裔。"
"郤","Xì","约 2 万","郤姓源出姬姓，为春秋时期晋国公族郤献子的后裔。"
"璩","Qú","约 1 万","璩姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"桑","Sāng","约 20 万","桑姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"桂","Guì","约 55 万","桂姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"濮","Pú","约 20 万","濮姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"牛","Niú","约 200 万","牛姓源出子姓和官职，是一个多民族、多源流的姓氏。"
"寿","Shòu","约 11 万","寿姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"通","Tōng","约 12 万","通姓源出巴国和地名，是一个多民族、多源流的姓氏。"
"边","Biān","约 40 万","边姓源出子姓和官职，是一个多民族、多源流的姓氏。"
"扈","Hù","约 28 万","扈姓源出姒姓，为夏朝诸侯扈氏的后裔。"
"燕","Yān","约 100 万","燕姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"冀","Jì","约 20 万","冀姓源出伊祁氏和地名，是一个多民族、多源流的姓氏。"
"郏","Jiá","约 10 万","郏姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"浦","Pǔ","约 22 万","浦姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"尚","Shàng","约 120 万","尚姓源出姜姓和官职，是一个多民族、多源流的姓氏。"
"农","Nóng","约 40 万","农姓源出神农氏和官职，是一个多民族、多源流的姓氏。"
"温","Wēn","约 190 万","温姓源出姬姓和郤姓，是一个多民族、多源流的姓氏。"
"别","Bié","约 15 万","别姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"庄","Zhuāng","约 200 万","庄姓源出芈姓和子姓，是一个多民族、多源流的姓氏。"
"晏","Yàn","约 60 万","晏姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"柴","Chái","约 100 万","柴姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"瞿","Qú","约 40 万","瞿姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"阎","Yán","约 70 万","阎姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。"
"充","Chōng","约 10 万","充姓源出姜姓和官职，是一个多民族、多源流的姓氏。"
"慕","Mù","约 20 万","慕姓源出鲜卑族和慕容氏，是一个多民族、多源流的姓氏。"
"连","Lián","约 45 万","连姓源出姜姓和芈姓，是一个多民族、多源流的姓氏。"
"茹","Rú","约 20 万","茹姓源出柔然族和如姓，是一个多民族、多源流的姓氏。"
"习","Xí","约 10 万","习姓源出少习国和地名，是一个多民族、多源流的姓氏。"
"宦","Huàn","约 5 万","宦姓源出阉宦和官职，是一个多民族、多源流的姓氏。"
"艾","Ài","约 60 万","艾姓源出夏代君主少康的大臣汝艾和地名，是一个多民族、多源流的姓氏。"
"鱼","Yú","约 15 万","鱼姓源出子姓，为春秋时期宋国司马子鱼的后裔。"
"容","Róng","约 24 万","容姓源出高阳氏和官职，是一个多民族、多源流的姓氏。"
"向","Xiàng","约 140 万","向姓源出子姓和姜姓，是一个多民族、多源流的姓氏。"
"古","Gǔ","约 50 万","古姓源出姬姓和姑姓，是一个多民族、多源流的姓氏。"
"易","Yì","约 170 万","易姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。"
"慎","Shèn","约 8 万","慎姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。"
"戈","Gē","约 15 万","戈姓源出夏朝和地名，是一个多民族、多源流的姓氏。"
"廖","Liào","约 490 万","廖姓源出己姓和姬姓，是一个多民族、多源流的姓氏。"
"庾","Yǔ","约 10 万","庾姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"终","Zhōng","约 10 万","终姓源出陆终氏和地名，是一个多民族、多源流的姓氏。"
"暨","Jì","约 10 万","暨姓源出彭姓和地名，是一个多民族、多源流的姓氏。"
"居","Jū","约 15 万","居姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"衡","Héng","约 30 万","衡姓源出伊祁氏和官职，是一个多民族、多源流的姓氏。"
"步","Bù","约 10 万","步姓源出姬姓和鲜卑族，是一个多民族、多源流的姓氏。"
"都","Dōu","约 26 万","都姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"耿","Gěng","约 110 万","耿姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"满","Mǎn","约 16 万","满姓源出妫姓和胡姓，是一个多民族、多源流的姓氏。"
"弘","Hóng","约 10 万","弘姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"匡","Kuāng","约 30 万","匡姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"国","Guó","约 27 万","国姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。"
"文","Wén","约 300 万","文姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。"
"寇","Kòu","约 25 万","寇姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"广","Guǎng","约 12 万","广姓源出姜姓和官职，是一个多民族、多源流的姓氏。"
"禄","Lù","约 10 万","禄姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"阙","Quē","约 10 万","阙姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"东","Dōng","约 20 万","东姓源出伏羲氏和官职，是一个多民族、多源流的姓氏。"
"欧","Ōu","约 320 万","欧姓源出姒姓和欧冶氏，是一个多民族、多源流的姓氏。"
"殳","Shū","约 5 万","殳姓源出姜姓和官职，是一个多民族、多源流的姓氏。"
"沃","Wò","约 10 万","沃姓源出子姓，为商王沃丁的后裔。"
"利","Lì","约 8 万","利姓源出理姓和地名，是一个多民族、多源流的姓氏。"
"蔚","Yù","约 12 万","蔚姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"越","Yuè","约 25 万","越姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"夔","Kuí","约 1 万","夔姓源出芈姓，为春秋时期楚国公族的后裔。"
"隆","Lóng","约 13 万","隆姓源出地名和少数民族，是一个多民族、多源流的姓氏。"
"师","Shī","约 12 万","师姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"巩","Gǒng","约 12 万","巩姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"厍","Shè","约 2 万","厍姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"聂","Niè","约 140 万","聂姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"晁","Cháo","约 30 万","晁姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"勾","Gōu","约 15 万","勾姓源出姒姓和地名，是一个多民族、多源流的姓氏。"
"敖","áo","约 25 万","敖姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。"
"融","Róng","约 15 万","融姓源出高阳氏和官职，是一个多民族、多源流的姓氏。"
"冷","Lěng","约 10 万","冷姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"訾","Zī","约 10 万","訾姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"辛","Xīn","约 60 万","辛姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。"
"阚","Kàn","约 25 万","阚姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"那","Nā","约 18 万","那姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"简","Jiǎn","约 110 万","简姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"饶","Ráo","约 70 万","饶姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"空","Kōng","约 1 万","空姓源出古空侯氏和地名，是一个多民族、多源流的姓氏。"
"曾","Zēng","约 700 万","曾姓源出姒姓，为夏禹的后裔。"
"毋","Wú","约 5 万","毋姓源出田姓和地名，是一个多民族、多源流的姓氏。"
"沙","Shā","约 40 万","沙姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"乜","Niè","约 5 万","乜姓源出姬姓和少数民族，是一个多民族、多源流的姓氏。"
"养","Yǎng","约 1 万","养姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"鞠","Jū","约 20 万","鞠姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"须","Xū","约 1 万","须姓源出风姓和地名，是一个多民族、多源流的姓氏。"
"丰","Fēng","约 30 万","丰姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"巢","Cháo","约 12 万","巢姓源出有巢氏和地名，是一个多民族、多源流的姓氏。"
"关","Guān","约 110 万","关姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"蒯","Kuǎi","约 10 万","蒯姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"相","Xiāng","约 16 万","相姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"查","Zhā","约 100 万","查姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"后","Hòu","约 8 万","后姓源出太昊氏和地名，是一个多民族、多源流的姓氏。"
"荆","Jīng","约 40 万","荆姓源出芈姓，为楚国的旧称。"
"红","Hóng","约 14 万","红姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"游","Yóu","约 10 万","游姓源出姬姓，为春秋时期郑国公子游吉的后裔。"
"竺","Zhú","约 13 万","竺姓源出竹姓和天竺国，是一个多民族、多源流的姓氏。"
"权","Quán","约 20 万","权姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"逯","Lù","约 20 万","逯姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"盖","Gài","约 25 万","盖姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"益","Yì","约 10 万","益姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"桓","Huán","约 15 万","桓姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"公","Gōng","约 2 万","公姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"万俟","Mò Qí","人口不详","万俟姓源出鲜卑族拓跋氏，是一个少数民族复姓。"
"司马","Sī Mǎ","人口不详","司马姓源出官职，为西周掌管军事的官职。"
"上官","Shàng Guān","人口不详","上官姓源出芈姓，为春秋时期楚国公族的后裔。"
"欧阳","Ōu Yáng","约 324 万","欧阳姓源出姒姓，为春秋时期越国君主无疆的后裔。"
"夏侯","Xià Hóu","人口不详","夏侯姓源出姒姓，为大禹的后裔。"
"诸葛","Zhū Gě","约 4.7 万","诸葛姓源出葛姓和地名，是一个多民族、多源流的姓氏。"
"闻人","Wén Rén","人口不详","闻人姓源出少正氏，为春秋时期鲁国大夫少正卯的后裔。"
"东方","Dōng Fāng","人口不详","东方姓源出伏羲氏，为上古伏羲氏的后裔。"
"赫连","Hè Lián","人口不详","赫连姓源出匈奴族，为十六国时期夏国的国姓。"
"皇甫","Huáng Fǔ","约 5.3 万","皇甫姓源出子姓和姬姓，是一个多民族、多源流的姓氏。"
"尉迟","Yù Chí","人口不详","尉迟姓源出鲜卑族，为北魏时期的部落姓氏。"
"公羊","Gōng Yáng","人口不详","公羊姓源出姬姓，为春秋时期鲁国公孙羊孺的后裔。"
"澹台","Tán Tái","人口不详","澹台姓源出姬姓，为春秋时期鲁国孔子弟子澹台灭明的后裔。"
"公冶","Gōng Yě","人口不详","公冶姓源出姬姓，为春秋时期鲁国大夫季公冶的后裔。"
"宗政","Zōng Zhèng","人口不详","宗政姓源出刘姓，为汉朝楚元王刘交的后裔。"
"濮阳","Pú Yáng","人口不详","濮阳姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"淳于","Chún Yú","人口不详","淳于姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"单于","Chán Yú","人口不详","单于是匈奴人对他们部落联盟首领的专称。"
"太叔","Tài Shū","人口不详","太叔姓源出姬姓，为春秋时期卫国大夫太叔段的后裔。"
"申屠","Shēn Tú","约 14 万","申屠姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"公孙","Gōng Sūn","人口不详","公孙姓源出姬姓和子姓，是一个多民族、多源流的姓氏。"
"仲孙","Zhòng Sūn","人口不详","仲孙姓源出姬姓，为春秋时期鲁国大夫仲孙湫的后裔。"
"轩辕","Xuān Yuán","约 2.8 万","轩辕姓源出姬姓，为黄帝的后裔。"
"令狐","Líng Hú","约 2.3 万","令狐姓源出姬姓，为春秋时期晋国大夫魏颗的后裔。"
"钟离","Zhōng Lí","人口不详","钟离姓源出嬴姓，为春秋时期楚国大夫伯州犁的后裔。"
"宇文","Yǔ Wén","约 2.1 万","宇文姓源出匈奴族，为鲜卑族部落首领的姓氏。"
"长孙","Zhǎng Sūn","人口不详","长孙姓源出拓跋氏，为北魏皇室的姓氏。"
"慕容","Mù Róng","约 7.8 万","慕容姓源出鲜卑族，为十六国时期前燕、后燕、南燕的国姓。"
"鲜于","Xiān Yú","人口不详","鲜于姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"闾丘","Lǘ Qiū","人口不详","闾丘姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"司徒","Sī Tú","约 4.7 万","司徒姓源出官职，为西周掌管国家土地和人民的官职。"
"司空","Sī Kōng","人口不详","司空姓源出官职，为西周掌管工程的官职。"
"亓官","Qí Guān","人口不详","亓官姓源出官职，为春秋时期鲁国掌管笄礼的官职。"
"司寇","Sī Kòu","人口不详","司寇姓源出官职，为西周掌管刑狱的官职。"
"仉","Zhǎng","人口不详","仉姓源出党姓，为春秋时期鲁国大夫党氏的后裔。"
"督","Dū","人口不详","督姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"子车","Zǐ Jū","人口不详","子车姓源出嬴姓，为春秋时期秦国大夫子车奄息的后裔。"
"颛孙","Zhuān Sūn","人口不详","颛孙姓源出妫姓，为春秋时期陈国公子颛孙的后裔。"
"端木","Duān Mù","约 5.8 万","端木姓源出姬姓，为春秋时期卫国大夫端木赐的后裔。"
"巫马","Wū Mǎ","人口不详","巫马姓源出官职，为春秋时期鲁国掌管养马的官职。"
"公西","Gōng Xī","人口不详","公西姓源出姬姓，为春秋时期鲁国大夫公西华的后裔。"
"漆雕","Qī Diāo","人口不详","漆雕姓源出职业，为春秋时期鲁国的工匠姓氏。"
"乐正","Yuè Zhèng","人口不详","乐正姓源出官职，为西周掌管乐舞的官职。"
"壤驷","Rǎng Sì","人口不详","壤驷姓源出姬姓，为春秋时期秦国贵族的姓氏。"
"公良","Gōng Liáng","人口不详","公良姓源出姬姓，为春秋时期陈国公子良的后裔。"
"拓跋","Tuò Bá","约 1.2 万","拓跋姓源出鲜卑族，为北魏皇室的姓氏。"
"夹谷","Jiá Gǔ","人口不详","夹谷姓源出女真族，为金朝的部落姓氏。"
"宰父","Zǎi Fǔ","人口不详","宰父姓源出官职，为春秋时期鲁国掌管法令的官职。"
"谷梁","Gǔ Liáng","人口不详","谷梁姓源出嬴姓和地名，是一个多民族、多源流的姓氏。"
"晋","Jìn","约 230 万","晋姓源出姬姓，为春秋时期晋国的国姓。"
"楚","Chǔ","约 280 万","楚姓源出芈姓，为春秋时期楚国的国姓。"
"闫","Yán","约 420 万","闫姓源出姬姓，为春秋时期晋国大夫闫嘉的后裔。"
"法","Fǎ","约 21 万","法姓源出田姓，为战国时期齐国襄王法章的后裔。"
"汝","Rǔ","人口不详","汝姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"鄢","Yān","约 38 万","鄢姓源出妘姓和地名，是一个多民族、多源流的姓氏。"
"涂","Tú","约 105 万","涂姓源出赢姓和地名，是一个多民族、多源流的姓氏。"
"钦","Qīn","约 10 万","钦姓源出乌桓族和地名，是一个多民族、多源流的姓氏。"
"段干","Duàn Gān","人口不详","段干姓源出李姓，为春秋时期道家学派创始人老子的后裔。"
"百里","Bǎi Lǐ","人口不详","百里姓源出姬姓，为春秋时期秦国大夫百里奚的后裔。"
"东郭","Dōng Guō","人口不详","东郭姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"南门","Nán Mén","人口不详","南门姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"呼延","Hū Yán","约 10 万","呼延姓源出匈奴族，为古代匈奴族的一个部落名称。"
"归海","Guī Hǎi","人口不详","归海姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"羊舌","Yáng Shé","人口不详","羊舌姓源出姬姓，为春秋时期晋国大夫羊舌肸的后裔。"
"微生","Wēi Shēng","人口不详","微生姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"岳","Yuè","约 142 万","岳姓源出姜姓，为上古四岳的后裔。"
"帅","Shuài","约 20 万","帅姓源出师姓，为避晋景帝司马师之名讳而改。"
"缑","Gōu","人口不详","缑姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"亢","Kàng","约 16 万","亢姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"况","Kuàng","约 24 万","况姓源出姚姓和地名，是一个多民族、多源流的姓氏。"
"后","Hòu","约 8 万","后姓源出太昊氏和地名，是一个多民族、多源流的姓氏。"
"有","Yǒu","人口不详","有姓源出祝融氏和地名，是一个多民族、多源流的姓氏。"
"琴","Qín","约 12 万","琴姓源出职业和地名，是一个多民族、多源流的姓氏。"
"梁丘","Liáng Qiū","人口不详","梁丘姓源出姬姓，为春秋时期齐国大夫梁丘据的后裔。"
"左丘","Zuǒ Qiū","人口不详","左丘姓源出姬姓，为春秋时期鲁国太史左丘明的后裔。"
"东门","Dōng Mén","人口不详","东门姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"西门","Xī Mén","人口不详","西门姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"商","Shāng","约 110 万","商姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"牟","Móu","约 50 万","牟姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"佘","Shé","约 60 万","佘姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"佴","Nài","约 2 万","佴姓源出地名和少数民族，是一个多民族、多源流的姓氏。"
"伯","Bó","约 15 万","伯姓源出姬姓和官职，是一个多民族、多源流的姓氏。"
"赏","Shǎng","人口不详","赏姓源出子姓和地名，是一个多民族、多源流的姓氏。"
"南宫","Nán Gōng","人口不详","南宫姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"墨","Mò","约 45 万","墨姓源出子姓，为商朝孤竹君的后裔。"
"哈","Hā","约 7 万","哈姓源出少数民族，为回族、蒙古族等民族的姓氏。"
"谯","Qiáo","约 15 万","谯姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"笪","Dá","约 5 万","笪姓源出地名和职业，是一个多民族、多源流的姓氏。"
"年","Nián","约 11 万","年姓源出姜姓和地名，是一个多民族、多源流的姓氏。"
"爱","Ài","人口不详","爱姓源出唐代西域回鹘国和赐姓，是一个多民族、多源流的姓氏。"
"阳","Yáng","约 67 万","阳姓源出姬姓和地名，是一个多民族、多源流的姓氏。"
"佟","Tóng","约 83 万","佟姓源出女真族和地名，是一个多民族、多源流的姓氏。"
"第五","Dì Wǔ","约 1.2 万","第五姓源出田姓，为汉高祖刘邦强迁齐国田氏诸族时所改。"
"言","Yán","约 11 万","言姓源出姬姓，为春秋时期吴国公子言偃的后裔。"
"福","Fú","人口不详","福姓源出百济国和赐姓，是一个多民族、多源流的姓氏。"

